site_id,horizon,incubation_treatment,temp_treatment_degC_above_MST,moisture_treatment_kPa,MST_degC,incubation_temp_degC,fraction,horizon_type,sample_name,oven_dry_mass_g,t13_cumul_resp_ugC_per_gsoil,t13_cumul_spec_resp_ugC_per_gC,t26_cumul_resp_ugC_per_gsoil,t26_cumul_spec_resp_ugC_per_gC,t52_cumul_resp_ugC_per_gsoil,t52_cumul_spec_resp_ugC_per_gC,notes
DSNY,Bh1,5MST33,5,-33,27.7,27.5,BULK,Upper B-Horizon,DSNY_Bh1_5MST33_5_-33_27.7_27.5_BULK_Upper B-Horizon,18.74,282,16298,497,28692,1114,64390,NA
GRSM,A,0MST400,0,-400,21.7,22.5,BULK,A-Horizon,GRSM_A_0MST400_0_-400_21.7_22.5_BULK_A-Horizon,19.46,639,15831,866,21450,1256,31100,NA
GRSM,A,0MST150,0,-150,21.7,22.5,BULK,A-Horizon,GRSM_A_0MST150_0_-150_21.7_22.5_BULK_A-Horizon,19.49,678,16797,920,22792,1343,33253,NA
GRSM,A,0MST33,0,-33,21.7,22.5,BULK,A-Horizon,GRSM_A_0MST33_0_-33_21.7_22.5_BULK_A-Horizon,19.51,734,18177,998,24719,1399,34652,NA
GRSM,A,5MST400,5,-400,21.7,22.5,BULK,A-Horizon,GRSM_A_5MST400_5_-400_21.7_22.5_BULK_A-Horizon,19.49,907,22474,1356,33572,2106,52160,NA
GRSM,A,5MST150,5,-150,21.7,22.5,BULK,A-Horizon,GRSM_A_5MST150_5_-150_21.7_22.5_BULK_A-Horizon,19.51,930,23026,1302,32242,1909,47268,NA
GRSM,A,5MST33,5,-33,21.7,22.5,BULK,A-Horizon,GRSM_A_5MST33_5_-33_21.7_22.5_BULK_A-Horizon,19.5,710,17573,832,20610,1151,28500,NA
GRSM,Bt1,0MST400,0,-400,21.7,22.5,BULK,Upper B-Horizon,GRSM_Bt1_0MST400_0_-400_21.7_22.5_BULK_Upper B-Horizon,19.23,71,9817,121,16816,236,32870,NA
GRSM,Bt1,0MST150,0,-150,21.7,22.5,BULK,Upper B-Horizon,GRSM_Bt1_0MST150_0_-150_21.7_22.5_BULK_Upper B-Horizon,19.25,75,10359,123,17045,257,35756,NA
GRSM,Bt1,0MST33,0,-33,21.7,22.5,BULK,Upper B-Horizon,GRSM_Bt1_0MST33_0_-33_21.7_22.5_BULK_Upper B-Horizon,19.21,75,10472,135,18781,265,36884,NA
GRSM,Bt1,5MST400,5,-400,21.7,22.5,BULK,Upper B-Horizon,GRSM_Bt1_5MST400_5_-400_21.7_22.5_BULK_Upper B-Horizon,19.21,91,12695,149,20672,346,48067,NA
GRSM,Bt1,5MST150,5,-150,21.7,22.5,BULK,Upper B-Horizon,GRSM_Bt1_5MST150_5_-150_21.7_22.5_BULK_Upper B-Horizon,19.28,102,14190,150,20820,335,46509,NA
GRSM,Bt1,5MST33,5,-33,21.7,22.5,BULK,Upper B-Horizon,GRSM_Bt1_5MST33_5_-33_21.7_22.5_BULK_Upper B-Horizon,19.25,97,13509,152,21130,330,45883,NA
JORN,Ak,0MST400,0,-400,25.5,25,BULK,A-Horizon,JORN_Ak_0MST400_0_-400_25.5_25_BULK_A-Horizon,19.89,193,62345,278,89911,388,125375,NA
JORN,Ak,0MST150,0,-150,25.5,25,BULK,A-Horizon,JORN_Ak_0MST150_0_-150_25.5_25_BULK_A-Horizon,19.9,206,66407,288,93106,396,127858,NA
JORN,Ak,0MST33,0,-33,25.5,25,BULK,A-Horizon,JORN_Ak_0MST33_0_-33_25.5_25_BULK_A-Horizon,19.85,226,73149,313,101287,421,135971,NA
JORN,Ak,5MST400,5,-400,25.5,25,BULK,A-Horizon,JORN_Ak_5MST400_5_-400_25.5_25_BULK_A-Horizon,19.92,274,88678,416,134352,569,183727,NA
JORN,Ak,5MST150,5,-150,25.5,25,BULK,A-Horizon,JORN_Ak_5MST150_5_-150_25.5_25_BULK_A-Horizon,19.87,286,92557,415,134258,545,176234,NA
JORN,Ak,5MST33,5,-33,25.5,25,BULK,A-Horizon,JORN_Ak_5MST33_5_-33_25.5_25_BULK_A-Horizon,19.85,291,94135,433,139775,599,193700,NA
JORN,Bk1,0MST400,0,-400,25.5,25,BULK,Upper B-Horizon,JORN_Bk1_0MST400_0_-400_25.5_25_BULK_Upper B-Horizon,19.87,44,18517,72,29948,98,40755,NA
