site_id,horizon,extract,incubation,fraction,C_conc_mg_g,C_error_mg_g
NGPR,A,HWE,PRE,BULK,0.8354693904855899,0.027391665128070845
NGPR,Bt1,CWE,PRE,BULK,0.12108076454278868,0.0016467438415787357
NGPR,Bt1,HWE,PRE,BULK,0.22190768504235273,0.030566973531180344
NGPR,Btk1,CWE,PRE,BULK,0.07330841696979885,0.007202568626668407
NGPR,Btk1,HWE,PRE,BULK,0.11323345494680342,0.018734450339307405
NIWO,A,CWE,PRE,BULK,0.21508458004929784,0.03596178161866159
NIWO,A,HWE,PRE,BULK,2.2127433138966865,0.12941060418921946
NIWO,Bw1,CWE,PRE,BULK,0.1029985849096862,0.012740342961844843
NIWO,Bw1,HWE,PRE,BULK,0.21888580589000292,0.011558129837254431
NIWO,Bw2,CWE,PRE,BULK,0.06166624782912103,0.007972417173438027
NIWO,Bw2,HWE,PRE,BULK,0.19733495322610972,0.014581914917593785
OAES,Ak,CWE,PRE,BULK,0.553019215737324,0.38770912619982006
OAES,Ak,HWE,PRE,BULK,0.3234210464568531,0.016317986784600693
OAES,Bk1,CWE,PRE,BULK,0.081874436921181,0.007116490311307255
OAES,Bk1,HWE,PRE,BULK,0.1348320194932438,0.018834916394612468
OAES,Bk2,CWE,PRE,BULK,0.04474915206116363,8.887452581361517e-4
OAES,Bk2,HWE,PRE,BULK,0.06437066635295867,0.015074315965382994
ONAQ,Ak,CWE,PRE,BULK,0.08856910747058837,0.014848173830584887
ONAQ,Ak,HWE,PRE,BULK,0.3533454542419931,0.0773067583009418
ONAQ,Bk1,CWE,PRE,BULK,0.07448359326609323,0.011603079014929789
ONAQ,Bk1,HWE,PRE,BULK,0.6834875805422039,0.7237038041414684
ONAQ,Bk2,CWE,PRE,BULK,0.06863891495251662,0.013137682234179882
ONAQ,Bk2,HWE,PRE,BULK,0.0758249263608264,0.0168842567349344
ORNL,A,CWE,PRE,BULK,0.31664299410994445,0.16234653581403838
ORNL,A,HWE,PRE,BULK,1.5510629294830627,0.38982634519312315
ORNL,Bt1,CWE,PRE,BULK,0.10655029507768381,0.006977249959467015
ORNL,Bt1,HWE,PRE,BULK,0.06575222604405746,0.0073836959362827215
ORNL,Bt2,CWE,PRE,BULK,0.049372182653322085,0.0018796419314632525
ORNL,Bt2,HWE,PRE,BULK,0.03572089299046792,0.012685976936971745
OSBS,A,CWE,PRE,BULK,0.05709094252543154,0.008157623649272704
OSBS,A,HWE,PRE,BULK,0.10260352521398348,0.007001563379273526
OSBS,A/B,CWE,PRE,BULK,0.07272786071293352,0.016430700781828098
OSBS,A/B,HWE,PRE,BULK,0.262939369008152,0.00392893181774437
OSBS,Bw1,CWE,PRE,BULK,0.06797582277279289,0.03460950415813009
OSBS,Bw1,HWE,PRE,BULK,0.2297560385847172,0.16268284217542786
OSBS,Bw3,CWE,PRE,BULK,0.04148386107528478,0.00901163597882908
OSBS,Bw3,HWE,PRE,BULK,0.05494129373571549,5.220717635029687e-4
RMNP,B/C,CWE,PRE,BULK,0.07990201262443158,0.0025795626531785105
